#Table: J/A+A/425/367/reflex50.dat (http://cdsarc.cds.unistra.fr)
--------------------------------------------------------------------------------------------------------------------------------------------
               |          |n|                    |      |   |       |      |       |     |       |     |   |
               |          |_|                    |      |   |       |      |       |     |       |     |   |
               |          |N|                    |      |   |       |      |       |     |       |     |   |
               |          |a|                    |      |   |       |      |       |     |       |     |   |
               |          |m| R  R        D  D  D|      |  N|       |      |       |     |       |     | No|
   RXC         |Name      |e|Ah Am  RAs  Ed Em Es|     z|gal|   Flux|e_Flux| ObsLum| Aper| LumCor|   NH|tes|r_
---------------|----------|-|--------------------|------|---|-------|------|-------|-----|-------|-----|---|--------------------------------
RXCJ0003.1-0605|A2697     | |00 03 11.8 -06 05 10|0.2320|  0|  4.493|  12.4| 10.256|  7.5| 11.028|  3.1|   |139
RXCJ0003.2-3555|A2717     | |00 03 12.1 -35 55 38|0.0490| 40|  7.537|  17.8|  0.785| 10.0|  0.892|  1.1|   |2
RXCJ0003.8+0203|A2700     | |00 03 50.6 +02 03 48|0.0924|  9|  4.155|  18.8|  1.530|  8.5|  1.663|  3.0|   |S,10
RXCJ0006.0-3443|A2721     | |00 06 03.0 -34 43 27|0.1147| 75|  5.832|  13.6|  3.291| 10.0|  3.501|  1.2|   |1
RXCJ0011.3-2851|A2734     | |00 11 20.7 -28 51 18|0.0620| 83| 12.014|   9.0|  2.007| 12.5|  2.205|  1.8|   |2
RXCJ0013.6-1930|A0013     | |00 13 38.3 -19 30 08|0.0940| 37|  6.071|  11.3|  2.302| 11.5|  2.423|  2.0|   |S,2,140,141
RXCJ0014.3-6604|A2746     | |00 14 18.4 -66 04 39|0.1599|  5|  4.474|  13.8|  4.924|  7.5|  5.352|  2.8|X  |E
RXCJ0014.3-3023|A2744     | |00 14 18.8 -30 23 00|0.3066| 65|  4.964|  18.7| 19.398| 12.0| 19.794|  1.6|   |142,143
RXCJ0015.4-2350|          | |00 15 24.0 -23 50 42|0.0645|  4|  3.426|  18.3|  0.620| 11.5|  0.653|  2.5|X  |33
RXCJ0017.5-3509|A2755     | |00 17 33.7 -35 09 54|0.0968| 23|  3.211|  20.0|  1.301| 11.5|  1.341|  1.3|   |E,3,33,140,141
RXCJ0020.7-2542|A0022     | |00 20 42.8 -25 42 37|0.1410|  3|  5.893|  12.1|  5.003|  7.5|  5.559|  2.3|   |1
RXCJ0025.5-3302|S0041     | |00 25 32.4 -33 02 50|0.0491|  3|  8.818|   9.7|  0.922| 13.0|  1.002|  1.7|   |26,144
